dataset,call_id,emotion_true,emotion_pred,confidence,duration,transcript,emotion,split
CREMA-D,call_2024-12-10_agent_01_1261,neutral,neutral,0.569,2.28,I think I have a doctor's appointment.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1271,neutral,neutral,0.592,1.97,It's 11 o'clock.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1281,neutral,neutral,0.322,2.34,We'll stop in a couple of minutes.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1291,neutral,neutral,0.399,2.57,That is exactly what happened.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1301,neutral,neutral,0.759,1.94,Maybe tomorrow it will be cold.,neutral,test
CREMA-D,call_2024-12-10_agent_01_1311,neutral,neutral,0.74,2.14,I would like a new alarm clock.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1321,neutral,neutral,0.596,2.2,I think I have a doctor's appointment.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1331,neutral,neutral,0.412,1.8,It's 11 o'clock.,neutral,test
CREMA-D,call_2024-12-10_agent_01_1341,neutral,neutral,0.652,1.97,Don't forget to check it.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1351,neutral,neutral,0.537,2.4,The surface is slick.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1361,neutral,neutral,0.403,2.97,The airplane is almost full.,neutral,test
CREMA-D,call_2024-12-10_agent_01_1371,neutral,neutral,0.465,1.94,I wonder what this is about.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1381,neutral,joy,0.347,2.44,I think I've seen this before.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1391,neutral,neutral,0.765,1.77,I'm on my way to the meeting.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1401,neutral,fear,0.325,2.94,Don't forget a jacket.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1411,neutral,neutral,0.396,2.44,The surface is slick.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1421,neutral,neutral,0.391,2.57,The airplane is almost full.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1431,neutral,neutral,0.546,2.1,I wonder what this is about.,neutral,val
CREMA-D,call_2024-12-10_agent_01_1441,neutral,neutral,0.454,2.84,I think I've seen this before.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1451,neutral,neutral,0.503,1.84,I'm on my way to the meeting.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1461,neutral,disgust,0.304,2.4,Don't forget the jacket.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1471,neutral,neutral,0.463,2.14,The surface is slick.,neutral,train
CREMA-D,call_2024-12-10_agent_01_1491,fear,sadness,0.312,2.77,It's eleven o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1501,fear,anger,0.48,1.63,4 o'clock!,fear,test
CREMA-D,call_2024-12-10_agent_01_1511,fear,fear,0.488,2.17,It's 11 o'clock!,fear,val
CREMA-D,call_2024-12-10_agent_01_1581,fear,fear,0.286,1.94,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1591,fear,neutral,0.49,2.97,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1601,fear,sadness,0.367,2.2,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1671,fear,neutral,0.319,1.53,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1681,fear,neutral,0.305,2.8,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1691,fear,neutral,0.287,3.27,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1771,fear,anger,0.556,1.9,The surface is slick!,fear,train
CREMA-D,call_2024-12-10_agent_01_1781,fear,anger,0.447,3.14,That is exactly what happened.,fear,val
CREMA-D,call_2024-12-10_agent_01_1791,fear,fear,0.394,3.14,Their plane is almost full.,fear,train
CREMA-D,call_2024-12-10_agent_01_1801,fear,fear,0.46,3.2,Maybe tomorrow it will be cold.,fear,test
CREMA-D,call_2024-12-10_agent_01_1811,fear,fear,0.475,3.1,I wonder what this is about.,fear,train
CREMA-D,call_2024-12-10_agent_01_1821,fear,neutral,0.457,2.7,I would like a new alarm clock.,fear,train
CREMA-D,call_2024-12-10_agent_01_1831,fear,fear,0.386,3.8,I think I've seen this before.,fear,train
CREMA-D,call_2024-12-10_agent_01_1841,fear,joy,0.351,4.14,I think I'd have a doctor's appointment.,fear,train
CREMA-D,call_2024-12-10_agent_01_1851,fear,fear,0.594,2.87,I think I have a doctor's appointment.,fear,train
CREMA-D,call_2024-12-10_agent_01_1861,disgust,disgust,0.349,2.0,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_01_1871,disgust,anger,0.403,2.77,It's eleven o'clock!,disgust,train
CREMA-D,call_2024-12-10_agent_01_1881,disgust,disgust,0.507,3.4,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_01_191,anger,anger,0.296,2.44,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_01_1961,disgust,disgust,0.388,3.04,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_01_1971,disgust,sadness,0.489,3.27,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_01_1981,disgust,disgust,0.606,1.94,It's 11 o'clock,disgust,train
CREMA-D,call_2024-12-10_agent_01_201,anger,anger,0.367,1.94,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_01_2051,disgust,disgust,0.372,2.3,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2061,disgust,disgust,0.461,2.28,It's eleven o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2071,disgust,disgust,0.386,2.07,It's a lot of a clock.,disgust,train
CREMA-D,call_2024-12-10_agent_01_211,anger,anger,0.364,1.94,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_01_2141,disgust,disgust,0.458,2.74,The airplane is almost full.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2151,disgust,disgust,0.497,3.64,Maybe tomorrow it will be cold.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2161,disgust,disgust,0.292,3.1,I wonder what this is about.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2171,disgust,disgust,0.386,2.24,I would like to do a alarm clock.,disgust,val
CREMA-D,call_2024-12-10_agent_01_2181,disgust,disgust,0.368,3.14,I think I've seen this before.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2191,disgust,fear,0.361,4.2,I think I have a doctor's appointment.,disgust,test
CREMA-D,call_2024-12-10_agent_01_2201,disgust,disgust,0.32,3.7,No more my way to the meeting.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2211,disgust,joy,0.345,3.64,Don't forget a jacket.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2221,disgust,disgust,0.429,2.57,Don't forget the jacket.,disgust,train
CREMA-D,call_2024-12-10_agent_01_2231,disgust,disgust,0.333,2.64,Don't forget a jacket.,disgust,test
CREMA-D,call_2024-12-10_agent_01_281,anger,anger,0.691,2.34,The airplane is almost full.,anger,train
CREMA-D,call_2024-12-10_agent_01_291,anger,joy,0.236,2.74,Maybe tomorrow it will be cold.,anger,train
CREMA-D,call_2024-12-10_agent_01_301,anger,anger,0.5,3.4,I wonder what this is about!,anger,train
CREMA-D,call_2024-12-10_agent_01_311,anger,anger,0.731,3.17,I would like a new alarm clock.,anger,test
CREMA-D,call_2024-12-10_agent_01_321,anger,anger,0.43,3.57,I think I've seen this before.,anger,train
CREMA-D,call_2024-12-10_agent_01_331,anger,anger,0.362,3.2,I think I have a doctor's appointment.,anger,train
CREMA-D,call_2024-12-10_agent_01_341,anger,anger,0.293,3.54,on my way to the meeting.,anger,test
CREMA-D,call_2024-12-10_agent_01_351,anger,anger,0.666,3.1,Don't forget a jacket!,anger,train
CREMA-D,call_2024-12-10_agent_01_361,anger,anger,0.548,2.04,Don't forget a jacket!,anger,train
CREMA-D,call_2024-12-10_agent_01_371,anger,anger,0.549,2.2,Don't forget a jacket!,anger,train
CREMA-D,call_2024-12-10_agent_01_751,sadness,sadness,0.699,2.54,آخركن هوا و هذا ζ Anyways,sadness,train
CREMA-D,call_2024-12-10_agent_01_761,sadness,sadness,0.864,1.84,، ومن لا أزنت الإمكان.,sadness,test
CREMA-D,call_2024-12-10_agent_01_771,sadness,sadness,0.758,2.87,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_01_841,sadness,sadness,0.543,1.9,It's a lovely clock.,sadness,train
CREMA-D,call_2024-12-10_agent_01_851,sadness,sadness,0.514,2.84,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_01_861,sadness,sadness,0.605,2.34,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_01_931,sadness,sadness,0.787,2.4,So let me have a clock.,sadness,train
CREMA-D,call_2024-12-10_agent_01_941,sadness,sadness,0.686,1.8,Es war immer krank,sadness,train
CREMA-D,call_2024-12-10_agent_01_951,sadness,sadness,0.641,2.17,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_02_031,anger,anger,0.795,2.4,It's 11 o'clock!,anger,val
CREMA-D,call_2024-12-10_agent_02_041,anger,anger,0.658,2.37,It's a level of clock!,anger,test
CREMA-D,call_2024-12-10_agent_02_051,anger,anger,0.454,1.77,It's 11 o'clock!,anger,train
CREMA-D,call_2024-12-10_agent_02_131,anger,anger,0.648,2.0,It's 11 o'clock!,anger,train
CREMA-D,call_2024-12-10_agent_02_141,anger,anger,0.482,1.8,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_02_1481,neutral,joy,0.243,2.37,The airplane is almost full.,neutral,train
CREMA-D,call_2024-12-10_agent_02_151,anger,anger,0.394,2.04,It's 11 o'clock.,anger,val
CREMA-D,call_2024-12-10_agent_02_1521,fear,fear,0.391,2.1,It's eleven o'clock!,fear,train
CREMA-D,call_2024-12-10_agent_02_1531,fear,fear,0.381,1.9,It's 11 o'clock!,fear,train
CREMA-D,call_2024-12-10_agent_02_1541,fear,joy,0.402,2.04,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_02_1611,fear,disgust,0.476,1.63,It's 11 o'clock.,fear,test
CREMA-D,call_2024-12-10_agent_02_1621,fear,fear,0.367,2.34,It's eleven o'clock,fear,test
CREMA-D,call_2024-12-10_agent_02_1631,fear,fear,0.414,2.87,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_02_1701,fear,fear,0.484,2.4,It's eleven o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_02_1711,fear,fear,0.439,2.4,It's a little bit of clock.,fear,train
CREMA-D,call_2024-12-10_agent_02_1721,fear,fear,0.277,1.8,It's 11 o'clock.,fear,val
CREMA-D,call_2024-12-10_agent_02_1891,disgust,disgust,0.328,2.07,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_02_1901,disgust,disgust,0.456,2.87,It's a level of clock.,disgust,train
CREMA-D,call_2024-12-10_agent_02_1911,disgust,disgust,0.409,1.84,It's 11 o'clock.,disgust,val
CREMA-D,call_2024-12-10_agent_02_1991,disgust,disgust,0.438,2.14,It's 11 o'clock.,disgust,test
CREMA-D,call_2024-12-10_agent_02_2001,disgust,disgust,0.711,2.17,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_02_2011,disgust,disgust,0.432,1.57,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_02_2081,disgust,sadness,0.431,2.44,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_02_2091,disgust,disgust,0.347,2.28,It's 11 o'clock.,disgust,test
CREMA-D,call_2024-12-10_agent_02_2101,disgust,disgust,0.581,2.17,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_02_221,anger,anger,0.243,1.97,This will have a clock.,anger,train
CREMA-D,call_2024-12-10_agent_02_231,anger,joy,0.321,2.14,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_02_241,anger,anger,0.556,2.04,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_02_781,sadness,sadness,0.697,2.04,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_02_791,sadness,sadness,0.467,1.94,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_02_801,sadness,sadness,0.831,3.27,It's 1 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_02_871,sadness,neutral,0.232,2.57,It's eleven o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_02_881,sadness,sadness,0.76,2.07,It's a lot more quiet.,sadness,test
CREMA-D,call_2024-12-10_agent_02_891,sadness,sadness,0.729,2.28,It's a love that's locked.,sadness,train
CREMA-D,call_2024-12-10_agent_02_961,sadness,sadness,0.701,2.14,11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_02_971,sadness,sadness,0.711,1.74,It's about in the clock.,sadness,test
CREMA-D,call_2024-12-10_agent_02_981,sadness,sadness,0.41,1.84,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_03_061,anger,anger,0.751,1.97,It's a level of clock!,anger,train
CREMA-D,call_2024-12-10_agent_03_071,anger,anger,0.629,2.54,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_03_081,anger,anger,0.779,3.47,It's 11 o'clock!,anger,test
CREMA-D,call_2024-12-10_agent_03_091,anger,anger,0.874,2.17,It's eleven o'clock!,anger,test
CREMA-D,call_2024-12-10_agent_03_1001,sadness,sadness,0.903,1.7,It's 11 o'clock.,sadness,test
CREMA-D,call_2024-12-10_agent_03_1011,sadness,sadness,0.751,2.6,It's 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_03_1551,fear,anger,0.357,1.5,Let's see who I'm with Mark.,fear,train
CREMA-D,call_2024-12-10_agent_03_1561,fear,anger,0.435,2.47,It's 11 o'clock!,fear,train
CREMA-D,call_2024-12-10_agent_03_1571,fear,joy,0.456,2.4,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_03_161,anger,anger,0.636,2.28,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_03_1641,fear,fear,0.381,2.5,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_03_1651,fear,neutral,0.225,1.94,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_03_1661,fear,fear,0.543,2.07,It's 11 o'clock.,fear,test
CREMA-D,call_2024-12-10_agent_03_171,anger,anger,0.577,2.2,It's 11 o'clock!,anger,test
CREMA-D,call_2024-12-10_agent_03_1731,fear,sadness,0.769,1.67,So that on a clock.,fear,train
CREMA-D,call_2024-12-10_agent_03_1741,fear,fear,0.453,2.07,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_03_1751,fear,fear,0.411,1.9,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_03_1761,fear,fear,0.461,2.5,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-10_agent_03_181,anger,anger,0.523,2.44,It's 11 o'clock!,anger,test
CREMA-D,call_2024-12-10_agent_03_1921,disgust,disgust,0.452,2.3,So level of clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_1931,disgust,disgust,0.465,1.7,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_1941,disgust,disgust,0.453,2.47,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_1951,disgust,anger,0.427,2.84,It's 11 o'clock!,disgust,train
CREMA-D,call_2024-12-10_agent_03_2021,disgust,disgust,0.447,2.4,It's 11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_2031,disgust,disgust,0.387,2.74,It's a letter to clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_2041,disgust,disgust,0.479,2.64,It's a love and a croc.,disgust,train
CREMA-D,call_2024-12-10_agent_03_2111,disgust,disgust,0.576,1.77,11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_2121,disgust,disgust,0.411,2.47,11 o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_2131,disgust,disgust,0.547,2.74,It's eleven o'clock.,disgust,train
CREMA-D,call_2024-12-10_agent_03_251,anger,disgust,0.475,1.94,It's eleven o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_03_261,anger,anger,0.696,1.57,It's 11 o'clock!,anger,train
CREMA-D,call_2024-12-10_agent_03_271,anger,anger,0.59,2.04,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-10_agent_03_811,sadness,sadness,0.364,2.94,But you'll never be caught.,sadness,train
CREMA-D,call_2024-12-10_agent_03_821,sadness,sadness,0.91,2.84,It's 11 o'clock.,sadness,val
CREMA-D,call_2024-12-10_agent_03_831,sadness,disgust,0.223,3.07,It's 11 o'clock.,sadness,val
CREMA-D,call_2024-12-10_agent_03_901,sadness,sadness,0.553,2.17,It's 11 o'clock.,sadness,val
CREMA-D,call_2024-12-10_agent_03_911,sadness,sadness,0.67,2.4,Till 11 o'clock.,sadness,train
CREMA-D,call_2024-12-10_agent_03_921,sadness,sadness,0.644,2.5,It's a limited clock.,sadness,train
CREMA-D,call_2024-12-10_agent_03_991,sadness,sadness,0.477,2.0,It's 11 o'clock.,sadness,test
CREMA-D,call_2024-12-11_agent_01_002,anger,disgust,0.323,2.74,It's 11 o'clock.,anger,test
CREMA-D,call_2024-12-11_agent_01_012,anger,anger,0.628,2.14,It's 11 o'clock!,anger,train
CREMA-D,call_2024-12-11_agent_01_022,anger,anger,0.95,3.14,It's 11 o'clock!,anger,test
CREMA-D,call_2024-12-11_agent_01_092,anger,anger,0.257,2.64,It's 11 o'clock.,anger,train
CREMA-D,call_2024-12-11_agent_01_102,anger,anger,0.576,2.5,It's 11 o'clock!,anger,train
CREMA-D,call_2024-12-11_agent_01_1022,sadness,neutral,0.296,2.84,I would like to do a alarm clock.,sadness,train
CREMA-D,call_2024-12-11_agent_01_1032,sadness,sadness,0.767,2.64,I've seen this before.,sadness,train
CREMA-D,call_2024-12-11_agent_01_1042,sadness,disgust,0.397,3.64,I think I have a doctor's appointment.,sadness,train
CREMA-D,call_2024-12-11_agent_01_1052,sadness,sadness,0.709,2.87,I'm on my way to the meeting.,sadness,val
CREMA-D,call_2024-12-11_agent_01_1062,sadness,sadness,0.455,3.04,Don't forget the jacket.,sadness,train
CREMA-D,call_2024-12-11_agent_01_1072,sadness,disgust,0.373,2.24,We'll stop in a couple of minutes.,sadness,test
CREMA-D,call_2024-12-11_agent_01_1082,sadness,sadness,0.3,3.07,The surface is slick.,sadness,train
CREMA-D,call_2024-12-11_agent_01_1092,sadness,sadness,0.662,3.77,Put us exactly what happened.,sadness,train
CREMA-D,call_2024-12-11_agent_01_1102,sadness,joy,0.257,3.7,The airplane is almost full.,sadness,test
CREMA-D,call_2024-12-11_agent_01_1112,sadness,sadness,0.702,2.7,That is exactly what happened.,sadness,test
CREMA-D,call_2024-12-11_agent_01_112,anger,joy,0.349,2.57,It's 11 o'clock.,anger,test
CREMA-D,call_2024-12-11_agent_01_1122,neutral,neutral,0.382,2.84,I would like to do a Lord clock.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1132,neutral,neutral,0.357,2.5,I think I have a doctor's appointment.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1142,neutral,disgust,0.351,3.2,I'm on my way to the meeting.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1152,neutral,neutral,0.382,3.1,Don't forget a jacket.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1162,neutral,neutral,0.414,2.24,The surface is slick.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1172,neutral,disgust,0.394,3.3,The airplane is almost full.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1182,neutral,neutral,0.638,3.1,I wonder what this is about.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1192,neutral,neutral,0.607,3.44,I think I've seen this before.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1202,neutral,neutral,0.683,2.44,I'm on my way to the meeting.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1212,neutral,sadness,0.523,2.54,It's 11 o'clock.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1222,neutral,neutral,0.396,2.54,Don't forget a jacket.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1232,neutral,neutral,0.799,2.1,The surface is slick.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1242,neutral,neutral,0.784,2.7,The airplane is almost full.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1252,neutral,neutral,0.729,2.37,I wonder what this is about.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1262,neutral,neutral,0.413,2.07,I think I've seen this before.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1272,neutral,neutral,0.393,2.1,I'm on my way to the meeting.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1282,neutral,neutral,0.371,1.77,Don't forget my jacket.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1292,neutral,neutral,0.737,2.2,The surface is slick.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1302,neutral,neutral,0.676,2.94,The airplane is almost full.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1312,neutral,neutral,0.535,1.74,I wonder what this is about.,neutral,val
CREMA-D,call_2024-12-11_agent_01_1322,neutral,neutral,0.522,2.34,I think I've seen this before.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1332,neutral,neutral,0.543,1.87,I'm on my way to the meeting.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1342,neutral,neutral,0.519,2.04,It's 11 o'clock.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1352,neutral,neutral,0.534,2.3,we'll stop in a couple of minutes.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1362,neutral,neutral,0.412,2.5,That is exactly what happened.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1372,neutral,neutral,0.555,2.67,Maybe tomorrow it will be cold.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1382,neutral,neutral,0.657,2.4,I would like a new alarm clock.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1392,neutral,sadness,0.501,2.37,I think I have a doctor's appointment.,neutral,test
CREMA-D,call_2024-12-11_agent_01_1402,neutral,sadness,0.298,2.1,It's 11 o'clock.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1412,neutral,neutral,0.43,3.1,We'll stop in a couple of minutes.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1422,neutral,neutral,0.644,3.1,That is exactly what happened.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1432,neutral,neutral,0.839,2.27,Maybe tomorrow it will be cold.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1442,neutral,neutral,0.659,2.6,I would like a new alarm clock.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1452,neutral,neutral,0.394,2.44,I think I have a doctor's appointment.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1462,neutral,sadness,0.249,1.8,It's 11 o'clock.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1472,neutral,disgust,0.384,2.17,We'll stop in a couple of minutes.,neutral,train
CREMA-D,call_2024-12-11_agent_01_1492,fear,fear,0.455,3.37,It's 11 o'clock.,fear,val
CREMA-D,call_2024-12-11_agent_01_1502,fear,anger,0.41,2.47,It's 11 o'clock!,fear,train
CREMA-D,call_2024-12-11_agent_01_1512,fear,fear,0.318,2.84,It's 11 o'clock!,fear,test
CREMA-D,call_2024-12-11_agent_01_1582,fear,fear,0.464,2.5,It's eleven o'clock.,fear,train
CREMA-D,call_2024-12-11_agent_01_1592,fear,fear,0.516,2.17,It's a little bit of clock.,fear,train
CREMA-D,call_2024-12-11_agent_01_1602,fear,neutral,0.614,2.14,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-11_agent_01_1672,fear,fear,0.367,2.6,to live in a clock.,fear,train
CREMA-D,call_2024-12-11_agent_01_1682,fear,neutral,0.379,2.0,It's 11 o'clock.,fear,test
CREMA-D,call_2024-12-11_agent_01_1692,fear,fear,0.227,1.9,It's 11 o'clock.,fear,train
CREMA-D,call_2024-12-11_agent_01_1762,fear,fear,0.456,2.17,Don't forget to jack it!,fear,train
