dataset,call_id,emotion_true,emotion_pred,confidence,duration,transcript
CREMA-D,1001_WSI_NEU_XX,neutral,neutral,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1001_WSI_SAD_XX,sadness,sadness,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1002_DFA_ANG_XX,anger,anger,0.0,0.0,Don't forget a jacket.
CREMA-D,1002_DFA_DIS_XX,disgust,disgust,0.0,0.0,Don't forget a jacket.
CREMA-D,1002_DFA_FEA_XX,fear,fear,0.0,0.0,Don't forget a jacket.
CREMA-D,1002_DFA_HAP_XX,joy,joy,0.0,0.0,Don't forget a jacket.
CREMA-D,1002_DFA_NEU_XX,neutral,neutral,0.0,0.0,Don't forget a jacket.
CREMA-D,1002_DFA_SAD_XX,sadness,sadness,0.0,0.0,Don't forget a jacket.
CREMA-D,1002_IEO_ANG_HI,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_ANG_LO,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_ANG_MD,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_DIS_HI,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_DIS_LO,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_DIS_MD,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_FEA_HI,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_FEA_LO,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_FEA_MD,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_HAP_HI,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_HAP_LO,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_HAP_MD,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_NEU_XX,neutral,neutral,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_SAD_HI,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_SAD_LO,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IEO_SAD_MD,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1002_IOM_ANG_XX,anger,anger,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1002_IOM_DIS_XX,disgust,disgust,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1002_IOM_FEA_XX,fear,fear,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1002_IOM_HAP_XX,joy,joy,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1002_IOM_NEU_XX,neutral,neutral,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1002_IOM_SAD_XX,sadness,sadness,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1002_ITH_ANG_XX,anger,anger,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1002_ITH_DIS_XX,disgust,disgust,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1002_ITH_FEA_XX,fear,fear,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1002_ITH_HAP_XX,joy,joy,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1002_ITH_NEU_XX,neutral,neutral,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1002_ITH_SAD_XX,sadness,sadness,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1002_ITS_ANG_XX,anger,anger,0.0,0.0,I think I've seen this before.
CREMA-D,1002_ITS_DIS_XX,disgust,disgust,0.0,0.0,I think I've seen this before.
CREMA-D,1002_ITS_FEA_XX,fear,fear,0.0,0.0,I think I've seen this before.
CREMA-D,1002_ITS_HAP_XX,joy,joy,0.0,0.0,I think I've seen this before.
CREMA-D,1002_ITS_NEU_XX,neutral,neutral,0.0,0.0,I think I've seen this before.
CREMA-D,1002_ITS_SAD_XX,sadness,sadness,0.0,0.0,I think I've seen this before.
CREMA-D,1002_IWL_ANG_XX,anger,anger,0.0,0.0,I would like a new alarm clock.
CREMA-D,1002_IWL_DIS_XX,disgust,disgust,0.0,0.0,I would like a new alarm clock.
CREMA-D,1002_IWL_FEA_XX,fear,fear,0.0,0.0,I would like a new alarm clock.
CREMA-D,1002_IWL_HAP_XX,joy,joy,0.0,0.0,I would like a new alarm clock.
CREMA-D,1002_IWL_NEU_XX,neutral,neutral,0.0,0.0,I would like a new alarm clock.
CREMA-D,1002_IWL_SAD_XX,sadness,sadness,0.0,0.0,I would like a new alarm clock.
CREMA-D,1002_IWW_ANG_XX,anger,anger,0.0,0.0,I wonder what this is about.
CREMA-D,1002_IWW_DIS_XX,disgust,disgust,0.0,0.0,I wonder what this is about.
CREMA-D,1002_IWW_FEA_XX,fear,fear,0.0,0.0,I wonder what this is about.
CREMA-D,1002_IWW_HAP_XX,joy,joy,0.0,0.0,I wonder what this is about.
CREMA-D,1002_IWW_NEU_XX,neutral,neutral,0.0,0.0,I wonder what this is about.
CREMA-D,1002_IWW_SAD_XX,sadness,sadness,0.0,0.0,I wonder what this is about.
CREMA-D,1002_MTI_ANG_XX,anger,anger,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1002_MTI_DIS_XX,disgust,disgust,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1002_MTI_FEA_XX,fear,fear,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1002_MTI_HAP_XX,joy,joy,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1002_MTI_NEU_XX,neutral,neutral,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1002_MTI_SAD_XX,sadness,sadness,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1002_TAI_ANG_XX,anger,anger,0.0,0.0,The airplane is almost full.
CREMA-D,1002_TAI_DIS_XX,disgust,disgust,0.0,0.0,The airplane is almost full.
CREMA-D,1002_TAI_FEA_XX,fear,fear,0.0,0.0,The airplane is almost full.
CREMA-D,1002_TAI_HAP_XX,joy,joy,0.0,0.0,The airplane is almost full.
CREMA-D,1002_TAI_NEU_XX,neutral,neutral,0.0,0.0,The airplane is almost full.
CREMA-D,1002_TAI_SAD_XX,sadness,sadness,0.0,0.0,The airplane is almost full.
CREMA-D,1002_TIE_ANG_XX,anger,anger,0.0,0.0,That is exactly what happened.
CREMA-D,1002_TIE_DIS_XX,disgust,disgust,0.0,0.0,That is exactly what happened.
CREMA-D,1002_TIE_FEA_XX,fear,fear,0.0,0.0,That is exactly what happened.
CREMA-D,1002_TIE_HAP_XX,joy,joy,0.0,0.0,That is exactly what happened.
CREMA-D,1002_TIE_SAD_XX,sadness,sadness,0.0,0.0,That is exactly what happened.
CREMA-D,1002_TSI_ANG_XX,anger,anger,0.0,0.0,The surface is slick.
CREMA-D,1002_TSI_DIS_XX,disgust,disgust,0.0,0.0,The surface is slick.
CREMA-D,1002_TSI_FEA_XX,fear,fear,0.0,0.0,The surface is slick.
CREMA-D,1002_TSI_HAP_XX,joy,joy,0.0,0.0,The surface is slick.
CREMA-D,1002_TSI_NEU_XX,neutral,neutral,0.0,0.0,The surface is slick.
CREMA-D,1002_TSI_SAD_XX,sadness,sadness,0.0,0.0,The surface is slick.
CREMA-D,1002_WSI_ANG_XX,anger,anger,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1002_WSI_DIS_XX,disgust,disgust,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1002_WSI_FEA_XX,fear,fear,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1002_WSI_HAP_XX,joy,joy,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1002_WSI_NEU_XX,neutral,neutral,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1002_WSI_SAD_XX,sadness,sadness,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1003_DFA_ANG_XX,anger,anger,0.0,0.0,Don't forget a jacket.
CREMA-D,1003_DFA_DIS_XX,disgust,disgust,0.0,0.0,Don't forget a jacket.
CREMA-D,1003_DFA_FEA_XX,fear,fear,0.0,0.0,Don't forget a jacket.
CREMA-D,1003_DFA_HAP_XX,joy,joy,0.0,0.0,Don't forget a jacket.
CREMA-D,1003_DFA_NEU_XX,neutral,neutral,0.0,0.0,Don't forget a jacket.
CREMA-D,1003_DFA_SAD_XX,sadness,sadness,0.0,0.0,Don't forget a jacket.
CREMA-D,1003_IEO_ANG_HI,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_ANG_LO,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_ANG_MD,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_DIS_HI,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_DIS_LO,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_DIS_MD,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_FEA_HI,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_FEA_LO,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_FEA_MD,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_HAP_HI,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_HAP_LO,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_HAP_MD,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_NEU_XX,neutral,neutral,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_SAD_HI,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_SAD_LO,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IEO_SAD_MD,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1003_IOM_ANG_XX,anger,anger,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1003_IOM_DIS_XX,disgust,disgust,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1003_IOM_FEA_XX,fear,fear,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1003_IOM_HAP_XX,joy,joy,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1003_IOM_NEU_XX,neutral,neutral,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1003_IOM_SAD_XX,sadness,sadness,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1003_ITH_ANG_XX,anger,anger,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1003_ITH_DIS_XX,disgust,disgust,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1003_ITH_FEA_XX,fear,fear,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1003_ITH_HAP_XX,joy,joy,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1003_ITH_NEU_XX,neutral,neutral,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1003_ITH_SAD_XX,sadness,sadness,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1003_ITS_ANG_XX,anger,anger,0.0,0.0,I think I've seen this before.
CREMA-D,1003_ITS_DIS_XX,disgust,disgust,0.0,0.0,I think I've seen this before.
CREMA-D,1003_ITS_FEA_XX,fear,fear,0.0,0.0,I think I've seen this before.
CREMA-D,1003_ITS_HAP_XX,joy,joy,0.0,0.0,I think I've seen this before.
CREMA-D,1003_ITS_NEU_XX,neutral,neutral,0.0,0.0,I think I've seen this before.
CREMA-D,1003_ITS_SAD_XX,sadness,sadness,0.0,0.0,I think I've seen this before.
CREMA-D,1003_IWL_ANG_XX,anger,anger,0.0,0.0,I would like a new alarm clock.
CREMA-D,1003_IWL_DIS_XX,disgust,disgust,0.0,0.0,I would like a new alarm clock.
CREMA-D,1003_IWL_FEA_XX,fear,fear,0.0,0.0,I would like a new alarm clock.
CREMA-D,1003_IWL_HAP_XX,joy,joy,0.0,0.0,I would like a new alarm clock.
CREMA-D,1003_IWL_NEU_XX,neutral,neutral,0.0,0.0,I would like a new alarm clock.
CREMA-D,1003_IWL_SAD_XX,sadness,sadness,0.0,0.0,I would like a new alarm clock.
CREMA-D,1003_IWW_ANG_XX,anger,anger,0.0,0.0,I wonder what this is about.
CREMA-D,1003_IWW_DIS_XX,disgust,disgust,0.0,0.0,I wonder what this is about.
CREMA-D,1003_IWW_FEA_XX,fear,fear,0.0,0.0,I wonder what this is about.
CREMA-D,1003_IWW_HAP_XX,joy,joy,0.0,0.0,I wonder what this is about.
CREMA-D,1003_IWW_NEU_XX,neutral,neutral,0.0,0.0,I wonder what this is about.
CREMA-D,1003_IWW_SAD_XX,sadness,sadness,0.0,0.0,I wonder what this is about.
CREMA-D,1003_MTI_ANG_XX,anger,anger,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1003_MTI_DIS_XX,disgust,disgust,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1003_MTI_FEA_XX,fear,fear,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1003_MTI_HAP_XX,joy,joy,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1003_MTI_NEU_XX,neutral,neutral,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1003_MTI_SAD_XX,sadness,sadness,0.0,0.0,Maybe tomorrow it will be cold.
CREMA-D,1003_TAI_ANG_XX,anger,anger,0.0,0.0,The airplane is almost full.
CREMA-D,1003_TAI_DIS_XX,disgust,disgust,0.0,0.0,The airplane is almost full.
CREMA-D,1003_TAI_FEA_XX,fear,fear,0.0,0.0,The airplane is almost full.
CREMA-D,1003_TAI_HAP_XX,joy,joy,0.0,0.0,The airplane is almost full.
CREMA-D,1003_TAI_NEU_XX,neutral,neutral,0.0,0.0,The airplane is almost full.
CREMA-D,1003_TAI_SAD_XX,sadness,sadness,0.0,0.0,The airplane is almost full.
CREMA-D,1003_TIE_ANG_XX,anger,anger,0.0,0.0,That is exactly what happened.
CREMA-D,1003_TIE_DIS_XX,disgust,disgust,0.0,0.0,That is exactly what happened.
CREMA-D,1003_TIE_FEA_XX,fear,fear,0.0,0.0,That is exactly what happened.
CREMA-D,1003_TIE_HAP_XX,joy,joy,0.0,0.0,That is exactly what happened.
CREMA-D,1003_TIE_NEU_XX,neutral,neutral,0.0,0.0,That is exactly what happened.
CREMA-D,1003_TIE_SAD_XX,sadness,sadness,0.0,0.0,That is exactly what happened.
CREMA-D,1003_TSI_ANG_XX,anger,anger,0.0,0.0,The surface is slick.
CREMA-D,1003_TSI_DIS_XX,disgust,disgust,0.0,0.0,The surface is slick.
CREMA-D,1003_TSI_FEA_XX,fear,fear,0.0,0.0,The surface is slick.
CREMA-D,1003_TSI_HAP_XX,joy,joy,0.0,0.0,The surface is slick.
CREMA-D,1003_TSI_NEU_XX,neutral,neutral,0.0,0.0,The surface is slick.
CREMA-D,1003_TSI_SAD_XX,sadness,sadness,0.0,0.0,The surface is slick.
CREMA-D,1003_WSI_ANG_XX,anger,anger,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1003_WSI_DIS_XX,disgust,disgust,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1003_WSI_FEA_XX,fear,fear,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1003_WSI_HAP_XX,joy,joy,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1003_WSI_NEU_XX,neutral,neutral,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1003_WSI_SAD_XX,sadness,sadness,0.0,0.0,We'll stop in a couple of minutes.
CREMA-D,1004_DFA_ANG_XX,anger,anger,0.0,0.0,Don't forget a jacket.
CREMA-D,1004_DFA_DIS_XX,disgust,disgust,0.0,0.0,Don't forget a jacket.
CREMA-D,1004_DFA_FEA_XX,fear,fear,0.0,0.0,Don't forget a jacket.
CREMA-D,1004_DFA_HAP_XX,joy,joy,0.0,0.0,Don't forget a jacket.
CREMA-D,1004_DFA_NEU_XX,neutral,neutral,0.0,0.0,Don't forget a jacket.
CREMA-D,1004_DFA_SAD_XX,sadness,sadness,0.0,0.0,Don't forget a jacket.
CREMA-D,1004_IEO_ANG_HI,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_ANG_LO,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_ANG_MD,anger,anger,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_DIS_HI,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_DIS_LO,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_DIS_MD,disgust,disgust,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_FEA_HI,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_FEA_LO,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_FEA_MD,fear,fear,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_HAP_HI,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_HAP_LO,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_HAP_MD,joy,joy,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_NEU_XX,neutral,neutral,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_SAD_HI,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_SAD_LO,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IEO_SAD_MD,sadness,sadness,0.0,0.0,It's eleven o'clock.
CREMA-D,1004_IOM_ANG_XX,anger,anger,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1004_IOM_DIS_XX,disgust,disgust,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1004_IOM_FEA_XX,fear,fear,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1004_IOM_HAP_XX,joy,joy,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1004_IOM_NEU_XX,neutral,neutral,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1004_IOM_SAD_XX,sadness,sadness,0.0,0.0,I'm on my way to the meeting.
CREMA-D,1004_ITH_ANG_XX,anger,anger,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1004_ITH_DIS_XX,disgust,disgust,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1004_ITH_FEA_XX,fear,fear,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1004_ITH_HAP_XX,joy,joy,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1004_ITH_NEU_XX,neutral,neutral,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1004_ITH_SAD_XX,sadness,sadness,0.0,0.0,I think I have a doctor's appointment.
CREMA-D,1004_ITS_ANG_XX,anger,anger,0.0,0.0,I think I've seen this before.
CREMA-D,1004_ITS_DIS_XX,disgust,disgust,0.0,0.0,I think I've seen this before.
CREMA-D,1004_ITS_FEA_XX,fear,fear,0.0,0.0,I think I've seen this before.
CREMA-D,1004_ITS_HAP_XX,joy,joy,0.0,0.0,I think I've seen this before.
CREMA-D,1004_ITS_NEU_XX,neutral,neutral,0.0,0.0,I think I've seen this before.
CREMA-D,1004_ITS_SAD_XX,sadness,sadness,0.0,0.0,I think I've seen this before.
CREMA-D,1004_IWL_ANG_XX,anger,anger,0.0,0.0,I would like a new alarm clock.
CREMA-D,1004_IWL_DIS_XX,disgust,disgust,0.0,0.0,I would like a new alarm clock.
CREMA-D,1004_IWL_FEA_XX,fear,fear,0.0,0.0,I would like a new alarm clock.
CREMA-D,1004_IWL_HAP_XX,joy,joy,0.0,0.0,I would like a new alarm clock.
CREMA-D,1004_IWL_NEU_XX,neutral,neutral,0.0,0.0,I would like a new alarm clock.
CREMA-D,1004_IWL_SAD_XX,sadness,sadness,0.0,0.0,I would like a new alarm clock.
CREMA-D,1004_IWW_ANG_XX,anger,anger,0.0,0.0,I wonder what this is about.
CREMA-D,1004_IWW_DIS_XX,disgust,disgust,0.0,0.0,I wonder what this is about.
